City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Presidencia Roque Saenz Pena,AR,85.6,few clouds,-26.7852,-60.4388,Hotel Gualok
4,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
11,Hithadhoo,MV,82.69,few clouds,-0.6,73.0833,Scoop Guest House
14,Caravelas,BR,84.85,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
15,Nieuw Amsterdam,SR,87.82,scattered clouds,5.8833,-55.0833,Hotel Stardust
18,Castro,BR,77.77,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
26,Port Alfred,ZA,75.65,clear sky,-33.5906,26.891,The Halyards Hotel
27,Rikitea,PF,79.02,broken clouds,-23.1203,-134.9692,People ThankYou
29,Atuona,PF,78.75,clear sky,-9.8,-139.0333,Villa Enata
31,Mahibadhoo,MV,82.02,few clouds,3.7833,72.9667,Omadhoo Inn
32,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
34,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
38,Coihaique,CL,83.01,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
41,Anicuns,BR,83.34,overcast clouds,-16.4611,-49.9617,Hotel Florida
42,Ambon,ID,75.34,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
44,Bandarbeyla,SO,76.03,overcast clouds,9.4942,50.8122,JABIR HOTEL
48,Moissala,TD,81.66,broken clouds,8.3404,17.7663,
55,Micheweni,TZ,80.28,overcast clouds,-4.9667,39.8333,
61,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
62,Banfora,BF,88.9,clear sky,10.6333,-4.7667,Residences David Hebié
65,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
66,Atar,MR,89.65,clear sky,20.5169,-13.0499,Oumou Elghoura
72,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
76,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
78,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
80,Marsh Harbour,BS,75.02,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
83,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
87,Palmas,BR,82.27,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
91,Cananeia,BR,85.44,light rain,-25.0147,-47.9267,Pousada Ancoradouro
95,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
112,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
113,Kavaratti,IN,78.49,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
117,Bria,CF,79.12,overcast clouds,6.5423,21.9863,WFP Guesthouse
120,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
