City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Wanning,18.8003,110.3967,70.0,90,99,5.84,CN,overcast clouds
1,Tura,25.5198,90.2201,52.05,81,18,2.75,IN,few clouds
2,Tiksi,71.6872,128.8694,-15.12,98,100,2.91,RU,overcast clouds
3,Presidencia Roque Saenz Pena,-26.7852,-60.4388,85.6,28,14,8.61,AR,few clouds
4,Vaini,-21.2,-175.2,75.36,94,100,12.66,TO,light rain
5,Rudbar,30.15,62.6,56.84,25,0,8.21,AF,clear sky
6,Dikson,73.5069,80.5464,-20.88,99,82,9.37,RU,broken clouds
7,Albany,42.6001,-73.9662,27.68,49,18,1.01,US,few clouds
8,Mar Del Plata,-38.0023,-57.5575,66.22,89,100,24.0,AR,overcast clouds
9,Aklavik,68.2191,-135.0107,-18.4,76,75,17.27,CA,broken clouds
10,Punta Arenas,-53.15,-70.9167,69.91,49,75,16.11,CL,broken clouds
11,Hithadhoo,-0.6,73.0833,82.69,72,21,12.66,MV,few clouds
12,Mataura,-46.1927,168.8643,39.47,99,4,2.01,NZ,clear sky
13,Bredasdorp,-34.5322,20.0403,70.92,73,6,8.05,ZA,clear sky
14,Caravelas,-17.7125,-39.2481,84.85,60,4,10.6,BR,clear sky
15,Nieuw Amsterdam,5.8833,-55.0833,87.82,69,40,5.75,SR,scattered clouds
16,Houston,29.7633,-95.3633,57.94,58,0,3.0,US,clear sky
17,Khatanga,71.9667,102.5,-19.57,98,95,8.05,RU,overcast clouds
18,Castro,-24.7911,-50.0119,77.77,66,68,7.36,BR,broken clouds
19,Busselton,-33.65,115.3333,54.09,60,72,17.43,AU,broken clouds
20,Inuvik,68.3499,-133.7218,-18.36,76,100,8.05,CA,overcast clouds
21,Qaanaaq,77.484,-69.3632,-12.26,57,60,8.59,GL,broken clouds
22,Bluff,-46.6,168.3333,39.79,81,2,4.59,NZ,clear sky
23,San Cristobal,7.7669,-72.225,69.98,48,75,5.26,VE,broken clouds
24,Barrow,71.2906,-156.7887,-23.78,76,40,6.91,US,haze
25,Hilo,19.7297,-155.09,69.24,95,100,5.75,US,heavy intensity rain
26,Port Alfred,-33.5906,26.891,75.65,81,0,27.47,ZA,clear sky
27,Rikitea,-23.1203,-134.9692,79.02,71,66,16.06,PF,broken clouds
28,Hermanus,-34.4187,19.2345,69.91,84,12,9.35,ZA,few clouds
29,Atuona,-9.8,-139.0333,78.75,73,10,20.15,PF,clear sky
30,Okhotsk,59.3833,143.3,-1.25,69,45,13.09,RU,scattered clouds
31,Mahibadhoo,3.7833,72.9667,82.02,63,18,10.85,MV,few clouds
32,Saint-Joseph,-21.3667,55.6167,77.38,77,95,10.96,RE,overcast clouds
33,Nha Trang,12.25,109.1833,73.4,92,94,5.95,VN,overcast clouds
34,Puerto Ayora,-0.7393,-90.3518,84.16,86,37,8.01,EC,scattered clouds
35,Naze,28.3667,129.4833,51.84,64,100,8.08,JP,overcast clouds
36,Biltine,14.5333,20.9167,72.43,11,89,15.79,TD,overcast clouds
37,Natal,-5.795,-35.2094,88.45,62,20,13.8,BR,few clouds
38,Coihaique,-45.5752,-72.0662,83.01,41,20,8.05,CL,few clouds
39,Whitehorse,60.7161,-135.0538,32.77,86,75,10.36,CA,light snow
40,Tezu,27.9167,96.1667,52.03,92,56,4.23,IN,broken clouds
41,Anicuns,-16.4611,-49.9617,83.34,60,86,2.26,BR,overcast clouds
42,Ambon,-3.6954,128.1814,75.34,94,40,5.75,ID,moderate rain
43,Krasnoselkup,65.7,82.4667,-19.62,100,37,7.47,RU,scattered clouds
44,Bandarbeyla,9.4942,50.8122,76.03,70,85,14.61,SO,overcast clouds
45,Altay,47.8667,88.1167,8.67,46,4,10.27,CN,clear sky
46,Fortuna,40.5982,-124.1573,55.74,79,0,6.91,US,clear sky
47,Olafsvik,64.8945,-23.7142,27.48,71,80,14.58,IS,broken clouds
48,Moissala,8.3404,17.7663,81.66,15,67,5.55,TD,broken clouds
49,Geraldton,-28.7667,114.6,68.41,52,40,10.36,AU,scattered clouds
50,Yar-Sale,66.8333,70.8333,-13.4,100,89,7.29,RU,overcast clouds
51,Raudeberg,61.9875,5.1352,38.86,85,100,5.01,NO,overcast clouds
52,Pisco,-13.7,-76.2167,71.02,83,40,10.36,PE,mist
53,Pirojpur,22.5667,89.9833,59.92,60,63,5.28,BD,broken clouds
54,Paamiut,61.994,-49.6678,6.51,75,100,10.54,GL,overcast clouds
55,Micheweni,-4.9667,39.8333,80.28,83,100,6.82,TZ,overcast clouds
56,Lagoa,39.05,-27.9833,60.21,84,8,12.1,PT,clear sky
57,Ribeira Grande,38.5167,-28.7,63.0,82,75,14.97,PT,broken clouds
58,Saint George,37.1041,-113.5841,55.87,26,0,3.0,US,clear sky
59,Cabo San Lucas,22.8909,-109.9124,73.18,67,20,5.99,MX,few clouds
60,Baruun-Urt,46.6806,113.2792,-0.35,88,12,6.87,MN,few clouds
61,Mahebourg,-20.4081,57.7,79.25,89,40,11.5,MU,scattered clouds
62,Banfora,10.6333,-4.7667,88.9,10,1,2.91,BF,clear sky
63,Bethel,41.3712,-73.414,29.01,56,0,1.01,US,clear sky
