City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cabo San Lucas,22.8909,-109.9124,75.61,59,0,3.0,MX,2022-02-05 19:28:54
1,Saint George,37.1041,-113.5841,54.07,23,0,3.0,US,2022-02-05 19:30:15
2,New Norfolk,-42.7826,147.0587,56.71,67,100,1.68,AU,2022-02-05 19:30:15
3,Palmer,42.1584,-72.3287,25.59,55,20,3.0,US,2022-02-05 19:20:51
4,Bluff,-46.6,168.3333,51.8,71,72,13.67,NZ,2022-02-05 19:30:16
5,Shimoda,34.6667,138.95,33.1,64,11,25.03,JP,2022-02-05 19:30:16
6,Ampanihy,-24.7,44.75,75.22,82,100,18.79,MG,2022-02-05 19:30:09
7,Jamestown,42.097,-79.2353,22.3,45,40,3.0,US,2022-02-05 19:30:17
8,Yellowknife,62.456,-114.3525,-9.58,89,75,6.91,CA,2022-02-05 19:28:31
9,Soyo,-6.1349,12.3689,78.17,84,87,9.01,AO,2022-02-05 19:30:17
10,Adamas,36.7333,24.4333,55.76,63,46,1.05,GR,2022-02-05 19:30:18
11,Victoria,22.2855,114.1577,60.33,82,100,1.99,HK,2022-02-05 19:25:47
12,Lagoa,39.05,-27.9833,59.0,76,49,18.14,PT,2022-02-05 19:23:03
13,Shelburne,44.0787,-80.2041,16.36,65,38,4.34,CA,2022-02-05 19:30:18
14,Hermanus,-34.4187,19.2345,69.8,78,51,16.8,ZA,2022-02-05 19:30:19
15,Port Augusta,-32.5,137.7667,73.71,29,51,18.34,AU,2022-02-05 19:19:25
16,Lebu,-37.6167,-73.65,63.77,70,0,19.55,CL,2022-02-05 19:30:19
17,Virginia Beach,36.8529,-75.978,42.85,50,20,3.0,US,2022-02-05 19:29:11
18,Esterhazy,50.65,-102.0843,9.45,91,98,4.68,CA,2022-02-05 19:30:20
19,Djambala,-2.5447,14.7533,72.48,80,85,4.25,CG,2022-02-05 19:30:20
20,Albany,42.6001,-73.9662,21.16,60,4,7.0,US,2022-02-05 19:30:01
21,Barrow,71.2906,-156.7887,-14.78,70,75,12.66,US,2022-02-05 19:30:01
22,Punta Arenas,-53.15,-70.9167,59.11,77,100,21.85,CL,2022-02-05 19:30:21
23,Qaanaaq,77.484,-69.3632,1.02,88,100,3.65,GL,2022-02-05 19:30:21
24,Poum,-20.2333,164.0167,80.82,72,99,3.36,NC,2022-02-05 19:30:21
25,Port Elizabeth,-33.918,25.5701,69.1,83,20,16.11,ZA,2022-02-05 19:21:52
26,Son La,21.3167,103.9,50.94,98,100,3.2,VN,2022-02-05 19:30:12
27,Safaga,26.7292,33.9365,58.95,54,0,16.22,EG,2022-02-05 19:30:22
28,Sambava,-14.2667,50.1667,76.66,89,100,5.1,MG,2022-02-05 19:25:58
29,Klaksvik,62.2266,-6.589,32.92,82,56,28.36,FO,2022-02-05 19:30:23
30,Pevek,69.7008,170.3133,-28.39,99,39,2.89,RU,2022-02-05 19:30:23
31,Kisanga,-7.4362,37.7034,75.02,74,99,2.62,TZ,2022-02-05 19:30:23
32,Bedele,8.456,36.353,65.14,46,100,2.3,ET,2022-02-05 19:30:24
33,Bathsheba,13.2167,-59.5167,83.01,57,20,14.97,BB,2022-02-05 19:30:24
34,Mataura,-46.1927,168.8643,51.48,94,100,1.05,NZ,2022-02-05 19:30:24
35,Saratoga Springs,43.0831,-73.7846,22.5,55,2,5.01,US,2022-02-05 19:27:44
36,Guatire,10.4762,-66.5427,86.5,80,77,4.63,VE,2022-02-05 19:30:25
37,Georgetown,5.4112,100.3354,80.89,84,20,0.0,MY,2022-02-05 19:30:25
38,Wamba,8.9333,8.6,74.89,19,0,3.36,NG,2022-02-05 19:30:26
39,Cape Town,-33.9258,18.4232,73.89,60,0,1.99,ZA,2022-02-05 19:30:26
40,Yulara,-25.2406,130.9889,64.24,59,0,5.75,AU,2022-02-05 19:30:26
41,Vaini,-21.2,-175.2,77.16,94,100,8.05,TO,2022-02-05 19:30:27
42,Padang,-0.9492,100.3543,74.16,97,100,1.7,ID,2022-02-05 19:29:07
43,Kapaa,22.0752,-159.319,73.72,79,40,1.99,US,2022-02-05 19:31:27
44,Doume,4.2333,13.45,72.19,24,47,2.82,CM,2022-02-05 19:31:27
45,Carnarvon,-24.8667,113.6333,78.87,89,75,10.36,AU,2022-02-05 19:31:28
46,Butaritari,3.0707,172.7902,82.56,71,49,19.24,KI,2022-02-05 19:31:28
47,Airai,-8.9266,125.4092,60.78,91,100,1.86,TL,2022-02-05 19:31:29
48,Abu Dhabi,24.4667,54.3667,71.62,81,20,1.01,AE,2022-02-05 19:31:29
49,Busselton,-33.65,115.3333,65.05,87,12,5.91,AU,2022-02-05 19:31:29
50,Quilali,13.567,-86.026,83.88,30,26,12.15,NI,2022-02-05 19:31:30
51,Rikitea,-23.1203,-134.9692,78.93,72,99,11.18,PF,2022-02-05 19:31:30
52,Bredasdorp,-34.5322,20.0403,69.28,73,93,21.85,ZA,2022-02-05 19:31:30
53,Alofi,-19.0595,-169.9187,78.69,94,100,4.61,NU,2022-02-05 19:24:37
54,Bethel,41.3712,-73.414,27.3,67,40,13.8,US,2022-02-05 19:31:31
55,Half Moon Bay,37.4636,-122.4286,63.19,64,0,3.44,US,2022-02-05 19:22:58
56,Norman Wells,65.282,-126.8329,-7.58,91,99,6.85,CA,2022-02-05 19:20:29
57,Ushuaia,-54.8,-68.3,64.02,55,75,24.16,AR,2022-02-05 19:31:32
58,Monitos,8.25,-76.05,92.88,58,9,14.23,CO,2022-02-05 19:31:32
59,San Cristobal,7.7669,-72.225,75.38,77,98,2.42,VE,2022-02-05 19:30:13
60,Aswan,24.0934,32.907,55.17,44,0,10.98,EG,2022-02-05 19:24:36
61,Fortuna,40.5982,-124.1573,58.93,69,0,1.01,US,2022-02-05 19:31:33
62,Dikson,73.5069,80.5464,-18.53,100,100,3.22,RU,2022-02-05 19:31:33
63,Karaton,-6.3424,106.1045,75.36,98,97,6.31,ID,2022-02-05 19:31:34
